sample_id,domain,model,condition,c_class,task_id,mutation_rule,tool_call_summary,final_state_summary,oracle_flag,reward,auto_explanation,trace_pointer,human_oracle_correct,human_failure_type,human_confidence,human_notes
oracle_baseline_success_unmutated_p5_3b9cae5a493d,airline,deepseek/deepseek-v4-flash,baseline,baseline,0,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_dc62992ed8be,retail,dashscope/glm-5.1,baseline,baseline,11,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0002_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_2c34eea94c6d,retail,dashscope/kimi-k2.6,baseline,baseline,16,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0001_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_eceb4fe1db04,retail,dashscope/qwen-max,baseline,baseline,11,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_0ced78956d9d,retail,deepseek/deepseek-v4-flash,baseline,baseline,1,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\baseline_0000_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_91d59844c804,airline,dashscope/glm-5.1,baseline,baseline,37,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0005_status.jsonl,,,,
oracle_baseline_success_unmutated_p5_3a1d73ecf495,airline,dashscope/kimi-k2.6,baseline,baseline,0,,target_tool=None; target_tool_called=None,reward=1.0; failure_mode=agent_compatible,false,1.0,Baseline cell succeeded without a semantic mutation; oracle should not fire.,runs\schema_mutation\phase5\status\airline_baseline_nonwyzlab_0003_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_b5ee615dd16c,airline,dashscope/glm-5.1,C1_O0_silent,C1,0,unit_scale,target_tool=book_reservation; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0000_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_0aa58a29026d,airline,dashscope/glm-5.1,C2_O0_silent,C2,6,currency_locale,target_tool=update_reservation_flights; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0003_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_dddb83c230bc,airline,dashscope/glm-5.1,C3_O0_silent,C3,43,default_behavior,target_tool=update_reservation_passengers; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0006_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p5_ed1e51069829,airline,dashscope/glm-5.1,O0_silent,C4,1,C4_business_rule_drift,target_tool=cancel_reservation; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\airline_observability_from_baseline_0000_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_40071ba34bf4,airline,dashscope/kimi-k2.6,C1_O0_silent,C1,0,unit_scale,target_tool=book_reservation; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0000_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_5ec64835010e,airline,dashscope/kimi-k2.6,C2_O0_silent,C2,4,currency_locale,target_tool=update_reservation_passengers; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0004_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_49d57f45858b,airline,dashscope/kimi-k2.6,C3_O0_silent,C3,6,default_behavior,target_tool=update_reservation_flights; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0007_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p5_93da48ee3333,airline,dashscope/kimi-k2.6,O0_silent,C4,47,C4_business_rule_drift,target_tool=cancel_reservation; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\airline_observability_from_baseline_0007_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_1744862a5762,airline,dashscope/qwen-max,C1_O0_silent,C1,14,unit_scale,target_tool=update_reservation_flights; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0001_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_1399c5e8c018,airline,dashscope/qwen-max,C2_O0_silent,C2,40,currency_locale,target_tool=cancel_reservation; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0005_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_5a84b24a2cbb,airline,dashscope/qwen-max,C3_O0_silent,C3,0,default_behavior,target_tool=book_reservation; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0008_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p5_04cd38b624eb,airline,dashscope/qwen-max,O0_silent,C4,47,C4_business_rule_drift,target_tool=cancel_reservation; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\airline_observability_from_baseline_0008_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_ceb49f7d9dd0,airline,deepseek/deepseek-v4-flash,C1_O0_silent,C1,20,unit_scale,target_tool=update_reservation_flights; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0002_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_28c381c4fdf5,airline,deepseek/deepseek-v4-flash,C2_O0_silent,C2,20,currency_locale,target_tool=update_reservation_flights; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0005_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_8a7296c4e89f,airline,deepseek/deepseek-v4-flash,C3_O0_silent,C3,43,default_behavior,target_tool=update_reservation_passengers; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0009_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p5_67417922f94c,airline,deepseek/deepseek-v4-flash,O0_silent,C4,2,C4_business_rule_drift,target_tool=update_reservation_flights; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\airline_observability_from_baseline_0009_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_25505f8443df,retail,dashscope/glm-5.1,C1_O0_silent,C1,15,unit_scale,target_tool=modify_pending_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0000_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_978f9e7d5e81,retail,dashscope/glm-5.1,C3_O0_silent,C3,2,default_behavior,target_tool=return_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0006_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p5_78f8cdcd66d6,retail,dashscope/glm-5.1,O0_silent,C4,4,C4_business_rule_drift,target_tool=modify_pending_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\observability_from_baseline_0000_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_1d917f56e49c,retail,dashscope/kimi-k2.6,C1_O0_silent,C1,16,unit_scale,target_tool=cancel_pending_order; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0001_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_86485acb82e8,retail,dashscope/kimi-k2.6,C2_O0_silent,C2,10,currency_locale,target_tool=return_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0004_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_98055ac43234,retail,dashscope/kimi-k2.6,C3_O0_silent,C3,11,default_behavior,target_tool=return_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0007_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p5_a26f8068e571,retail,dashscope/kimi-k2.6,O0_silent,C4,10,C4_business_rule_drift,target_tool=return_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\observability_from_baseline_0002_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_4e84f521f60b,retail,dashscope/qwen-max,C1_O0_silent,C1,11,unit_scale,target_tool=return_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0002_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_d6cfb5d45fea,retail,dashscope/qwen-max,C2_O0_silent,C2,6,currency_locale,target_tool=exchange_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0005_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_8f3bc0de1169,retail,dashscope/qwen-max,C3_O0_silent,C3,0,default_behavior,target_tool=exchange_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0008_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p5_9db42e68b37f,retail,dashscope/qwen-max,O0_silent,C4,9,C4_business_rule_drift,target_tool=exchange_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\observability_from_baseline_0003_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_f87a8b7e26de,retail,deepseek/deepseek-v4-flash,C1_O0_silent,C1,2,unit_scale,target_tool=return_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0003_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_f0dca93fa2c2,retail,deepseek/deepseek-v4-flash,C2_O0_silent,C2,8,currency_locale,target_tool=exchange_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0006_status.jsonl,,,,
oracle_o0_hidden_violation_positive_p8c_b7b9bbcc215b,retail,deepseek/deepseek-v4-flash,C3_O0_silent,C3,2,default_behavior,target_tool=return_delivered_order_items; target_tool_called=True,reward=0.0; failure_mode=silent_failure,true,0.0,O0 silent drift has no visible recovery signal and the hidden rule violation is set.,runs\schema_mutation\phase5\status\c_semantic_generalization_0009_status.jsonl,,,,
