entry_id,provider,date,title,url,short_paraphrase,evidence_snippet,auto_taxonomy_class,auto_c_subclass,auto_schema_visible,auto_runtime_visible,auto_agent_task_relevance,auto_label_rationale,human_taxonomy_class,human_c_subclass,human_schema_visible,human_runtime_visible,human_agent_task_relevance,human_confidence,human_notes,accept_for_paper_example
anthropic_56c5b3ffa9bc,Anthropic,unknown,"The web search tool now returns richer SEC filing data, making it easier to ground financial research agents, earnings analysis, and due-diligence workflows in primary sources with citations.",https://docs.anthropic.com/docs/en/agents-and-tools/tool-use/web-search-tool,Official changelog entry indicates semantic behavior relevant to none.,"The web search tool now returns richer SEC filing data, making it easier to ground financial research agents, earnings analysis, and due-diligence workflows in",C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
anthropic_1176ccc97271,Anthropic,unknown,We announced Claude Mythos Preview is available as a gated research preview for defensive cybersecurity work as part of Project Glasswing . Access is invitation-only.,https://anthropic.com/glasswing,Official changelog entry indicates semantic behavior relevant to none.,The Messages API is now available on Amazon Bedrock as a research preview. The new Claude in Amazon Bedrock endpoint at /anthropic/v1/messages uses the,C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
anthropic_4b3f93bb5a8f,Anthropic,unknown,"We've released the Rate Limits API , allowing administrators to programmatically query the rate limits configured for their organization and workspaces.",https://docs.anthropic.com/docs/en/manage-claude/rate-limits-api,Official changelog entry indicates an operational or protocol behavior change.,"We've released the Rate Limits API , allowing administrators to programmatically query the rate limits configured for their organization and workspaces.",D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
anthropic_9eaa79c092d8,Anthropic,unknown,We've retired the Claude Haiku 3 model ( claude-3-haiku-20240307 ). All requests to this model will now return an error. We recommend upgrading to Claude Haiku 4.5 .,https://docs.anthropic.com/docs/en/about-claude/models/overview#latest-models-comparison,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,We've retired the Claude Haiku 3 model ( claude-3-haiku-20240307 ). All requests to this model will now return an error. We recommend upgrading to,mixed,none,unknown,True,high,Both schema/protocol and semantic keywords matched; subclass=none.,,,,,,,,
anthropic_5eca0bc8da5d,Anthropic,unknown,Webhooks for Claude Managed Agents are now supported. Webhook event types include session and vault lifecycle events. See Subscribe to webhooks .,https://docs.anthropic.com/docs/en/managed-agents/webhooks,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"Additional filtering and sorting options are now supported for Claude Managed Agents. Sessions can be filtered by status, and events can be filtered by",mixed,C3_default_behavior,true,unknown,high,Both schema/protocol and semantic keywords matched; subclass=C3_default_behavior.,,,,,,,,
anthropic_2491922fc0f3,Anthropic,unknown,"With Claude Managed Agents, you can now update the agent's MCP server and tool configurations associated with an active session.",https://docs.anthropic.com/en/release-notes/api,Official changelog entry indicates semantic behavior relevant to C3_default_behavior.,"With Claude Managed Agents, large outputs from agent_toolset and MCP tools exceeding 100K tokens are now automatically spilled to a file in the sandbox.",C,C3_default_behavior,false,unknown,high,Semantic behavior keyword matched; subclass=C3_default_behavior.,,,,,,,,
github_40027443ef32,GitHub,"Fri, 19 Jun 2026 16:23:29 +0000",AI credits consumed per user now in the Copilot usage metrics API,https://github.blog/changelog/2026-06-19-ai-credits-consumed-per-user-now-in-the-copilot-usage-metrics-api,Official changelog entry indicates semantic behavior relevant to C4_business_rule.,"The Copilot usage metrics API now reports how many AI credits each user consumed per day, derived from the same AI credits consumption data",C,C4_business_rule,false,unknown,high,Semantic behavior keyword matched; subclass=C4_business_rule.,,,,,,,,
github_d4a036546a5f,GitHub,"Thu, 18 Jun 2026 14:06:18 +0000",Control who and what triggers GitHub Actions workflows,https://github.blog/changelog/2026-06-18-control-who-and-what-triggers-github-actions-workflows,Official changelog entry indicates semantic behavior relevant to none.,"Workflow execution protections are now in public preview for GitHub Enterprise, organizations, and repositories. This new capability lets enterprise administrators define an allow list",C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
github_dc8b0356afef,GitHub,"Thu, 18 Jun 2026 14:06:55 +0000",Safer pull_request_target defaults for GitHub Actions checkout,https://github.blog/changelog/2026-06-18-safer-pull_request_target-defaults-for-github-actions-checkout,Official changelog entry indicates semantic behavior relevant to C3_default_behavior.,"The pull_request_target event is one of the most commonly misused triggers in GitHub Actions, leading to vulnerabilities in workflows. Workflows triggered by pull_request_target run",C,C3_default_behavior,false,unknown,high,Semantic behavior keyword matched; subclass=C3_default_behavior.,,,,,,,,
github_c1d0f8516586,GitHub,"Thu, 18 Jun 2026 15:32:44 +0000",Actions: Build custom images from custom images,https://github.blog/changelog/2026-06-18-actions-build-custom-images-from-custom-images,Official changelog entry indicates semantic behavior relevant to none.,Custom images for GitHub-hosted runners are getting new capabilities that give you more flexibility over how you compose and manage your image-generation pipelines. You,C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
github_643c46147b6d,GitHub,"Thu, 18 Jun 2026 16:23:00 +0000",Repository switcher generally available in global navigation,https://github.blog/changelog/2026-06-18-repository-switcher-generally-available-in-global-navigation,Official changelog entry indicates semantic behavior relevant to none.,You can now quickly jump between repositories without leaving your current page. The new repository switcher in the global navigation is generally available. Select,C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
github_c4cbeb499bbb,GitHub,"Thu, 18 Jun 2026 16:24:05 +0000",Copilot-authored pull requests now included in author searches,https://github.blog/changelog/2026-06-18-copilot-authored-pull-requests-now-included-in-author-searches,Official changelog entry indicates semantic behavior relevant to none.,"Searching for pull requests using author: now shows pull requests opened by Copilot cloud agent on the user’s behalf. For example, searching with author:@me",C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
github_225a608267c5,GitHub,"Thu, 18 Jun 2026 18:04:33 +0000",Detecting Duplicate Issues – Public Preview and issue fields MCP support for GitHub Issues,https://github.blog/changelog/2026-06-18-duplicate-detection-and-issue-fields-mcp-support-for-github-issues,Official changelog entry indicates a schema-contract change.,"Duplicate issues are one of the biggest time sinks for maintainers: triaging the same bug filed multiple ways, closing duplicates, and linking back to",B,none,true,unknown,medium,Schema-contract keyword matched.,,,,,,,,
github_268f54f95c13,GitHub,"Thu, 18 Jun 2026 19:11:51 +0000",Copilot code review: AGENTS.md support and UI improvements,https://github.blog/changelog/2026-06-18-copilot-code-review-agents-md-support-and-ui-improvements,Official changelog entry indicates semantic behavior relevant to none.,"Copilot code review now supports repository-level AGENTS.md files, and it’s easier to request a review from Copilot on draft pull requests with the Request",C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
github_77cba2844899,GitHub,"Thu, 18 Jun 2026 20:11:24 +0000",MAI-Code-1-Flash available on more Copilot surfaces,https://github.blog/changelog/2026-06-18-mai-code-1-flash-available-on-more-copilot-surfaces,Official changelog entry indicates semantic behavior relevant to none.,"MAI‑Code‑1‑Flash, Microsoft’s purpose‑built small coding model, is now available across additional GitHub Copilot surfaces. MAI‑Code‑1‑Flash can now be used in: Copilot CLI GitHub Copilot",C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
github_7af2d4d077ef,GitHub,"Thu, 18 Jun 2026 23:58:34 +0000",Upcoming deprecation of Opus 4.6 (fast),https://github.blog/changelog/2026-06-18-upcoming-deprecation-of-opus-4-6-fast,Official changelog entry indicates an operational or protocol behavior change.,"We will deprecate Opus 4.6 (fast) across all GitHub Copilot experiences (including Copilot Chat, inline edits, ask and agent modes, and code completions), on",D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
google_cloud_38d26ab006eb,Google Cloud,2026,"On June 18th, 2026, we began maintenance updates of Apigee instances configured for maintenance windows .",https://cloud.google.com/apigee/docs/api-platform/system-administration/maintenance-windows,Official changelog entry indicates a surface or representation change.,"If you set a preferred window for maintenance for your instance, and your instance version is below 1-17-0-apigee-9 , your instance will be updated",A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
google_cloud_278cd57287d3,Google Cloud,unknown,Agent Observability is generally available (GA),https://cloud.google.com/release-notes,Official changelog entry indicates semantic behavior relevant to C3_default_behavior.,"This release provides visibility into the performance, behavior, and health of deployed agents and Model Context Protocol (MCP) servers directly within the agent management",C,C3_default_behavior,false,unknown,high,Semantic behavior keyword matched; subclass=C3_default_behavior.,,,,,,,,
google_cloud_705d5e8885a6,Google Cloud,unknown,"Cloud SQL for MySQL now supports minor version 8.0.46 . To upgrade your existing instance to the new minor version, see Upgrade the database minor version .",https://dev.mysql.com/doc/relnotes/mysql/8.0/en/news-8-0-46.html,Official changelog entry indicates semantic behavior relevant to none.,"Cloud SQL for MySQL now supports minor version 8.0.46 . To upgrade your existing instance to the new minor version, see Upgrade the database",C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
google_cloud_c98a199d2e09,Google Cloud,unknown,Collect and view multimodal prompts and responses,https://cloud.google.com/trace/docs/collect-view-multimodal-prompts-responses,Official changelog entry indicates a schema-contract change.,Collect and view multimodal prompts and responses,B,none,true,True,medium,Schema-contract keyword matched.,,,,,,,,
google_cloud_d9b418a958de,Google Cloud,unknown,"For 4xx client-side quota failures, API Gateway will now reject requests (fail closed). This applies to both gRPC and OpenAPI API Gateways.",https://cloud.google.com/release-notes,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"For 4xx client-side quota failures, API Gateway will now reject requests (fail closed). This applies to both gRPC and OpenAPI API Gateways.",mixed,none,unknown,unknown,high,Both schema/protocol and semantic keywords matched; subclass=none.,,,,,,,,
google_cloud_7dc46291e4be,Google Cloud,unknown,"For more information on participating in scheduled maintenance windows, see Maintenance overview and Manage Apigee instance maintenance windows .",https://cloud.google.com/apigee/docs/api-platform/system-administration/maintenance,Official changelog entry indicates a surface or representation change.,"For more information on participating in scheduled maintenance windows, see Maintenance overview and Manage Apigee instance maintenance windows .",A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
google_cloud_1c71690270d7,Google Cloud,unknown,"For more information, see Build vibe-coded applications using Google AI Studio and Cloud SQL .",https://cloud.google.com/sql/docs/postgres/ai-assisted-coding-and-cloud-sql,Official changelog entry indicates a surface or representation change.,This feature is generally available ( GA ).,A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
google_cloud_31c60ee6dc96,Google Cloud,unknown,"For more information, see:",https://cloud.google.com/release-notes,Official changelog entry indicates a surface or representation change.,Workflow agents Manage web app features,A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
google_cloud_5553ea9a02c3,Google Cloud,unknown,"If you experience any other differences in behavior due to this update, contact Google Cloud Customer Care .",https://cloud.google.com/support-hub,Official changelog entry indicates semantic behavior relevant to C3_default_behavior.,Note : Rollouts of this release to production instances might take up to 4 weeks to complete across all Google Cloud zones. Your instances,C,C3_default_behavior,false,unknown,high,Semantic behavior keyword matched; subclass=C3_default_behavior.,,,,,,,,
google_cloud_678536992264,Google Cloud,unknown,Instrument generative AI applications,https://cloud.google.com/stackdriver/docs/instrumentation/ai-agent-overview,Official changelog entry indicates a schema-contract change.,Collect and view multimodal prompts and responses,B,none,true,True,medium,Schema-contract keyword matched.,,,,,,,,
google_cloud_3565a3296854,Google Cloud,unknown,Release 6.3.89 is now available for all regions.,https://cloud.google.com/chronicle/docs/soar/release-notes#June_14_2026,Official changelog entry indicates semantic behavior relevant to C2_currency_locale.,Release 6.3.89 is now available for all regions.,C,C2_currency_locale,false,unknown,high,Semantic behavior keyword matched; subclass=C2_currency_locale.,,,,,,,,
google_cloud_f8999df5016c,Google Cloud,unknown,Status code changes for gRPC API Gateways Error New status code Previous status code Quota exceeded ResourceExhausted Unavailable Invalid API key InvalidArgument InternalError,https://cloud.google.com/release-notes,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"For 4xx client-side quota failures, API Gateway will now reject requests (fail closed). This applies to both gRPC and OpenAPI API Gateways.",mixed,none,unknown,True,high,Both schema/protocol and semantic keywords matched; subclass=none.,,,,,,,,
google_cloud_6756c60dbd5d,Google Cloud,unknown,The API Gateway runtime architecture is being updated to improve its integration with Google Cloud Platform and its services.,https://cloud.google.com/release-notes,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"This update does not affect existing API Gateway features. However, be aware of the following differences: Status code changes for gRPC API Gateways Error",mixed,none,unknown,True,high,Both schema/protocol and semantic keywords matched; subclass=none.,,,,,,,,
google_cloud_b6a6439389b8,Google Cloud,unknown,"The Cloud Logging API adds support for the ca regional endpoint. For a complete list of regional endpoints, see the REST reference pages .",https://cloud.google.com/logging/docs/reference/v2/rest?rep_location=global,Official changelog entry indicates semantic behavior relevant to C2_currency_locale.,"The Cloud Logging API adds support for the ca regional endpoint. For a complete list of regional endpoints, see the REST reference pages .",C,C2_currency_locale,false,unknown,high,Semantic behavior keyword matched; subclass=C2_currency_locale.,,,,,,,,
google_cloud_7b0ca9dcd5d3,Google Cloud,unknown,"This release provides visibility into the performance, behavior, and health of deployed agents and Model Context Protocol (MCP) servers directly within the agent management workflow.",https://cloud.google.com/release-notes,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,Key updates in this release include: Default-On Tracing: OpenTelemetry tracing is now enabled by default for newly deployed Agent Development Kit (ADK) agents on,mixed,C3_default_behavior,true,True,high,Both schema/protocol and semantic keywords matched; subclass=C3_default_behavior.,,,,,,,,
google_cloud_88d8527d8395,Google Cloud,unknown,"This update does not affect existing API Gateway features. However, be aware of the following differences:",https://cloud.google.com/release-notes,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,Status code changes for gRPC API Gateways Error New status code Previous status code Quota exceeded ResourceExhausted Unavailable Invalid API key InvalidArgument InternalError For,mixed,C3_default_behavior,unknown,True,high,Both schema/protocol and semantic keywords matched; subclass=C3_default_behavior.,,,,,,,,
google_cloud_8857c1b91619,Google Cloud,unknown,"You can collect, view, and analyze multimodal prompts and responses from your agentic applications that use the LangGraph or Agent Development Kit (ADK) frameworks. This feature is generally available (GA) .",https://cloud.google.com/products#product-launch-stages,Official changelog entry indicates a schema-contract change.,Instrument generative AI applications Collect and view multimodal prompts and responses,B,none,true,True,medium,Schema-contract keyword matched.,,,,,,,,
google_cloud_4693234e9963,Google Cloud,unknown,"You can use the Bigtable Studio explorer to search for all resources except for authorized views and column families. For more information, see Manage your data using Bigtable Studio .",https://cloud.google.com/bigtable/docs/manage-data-using-console,Official changelog entry indicates a surface or representation change.,"You can use the Bigtable Studio explorer to search for all resources except for authorized views and column families. For more information, see Manage",A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
openai_2e05a60dda63,OpenAI,unknown,ChatGPT Actions Introduction Getting started Actions library Authentication Production Data retrieval Sending files,https://platform.openai.com/api/docs/actions/introduction,Official changelog entry indicates an operational or protocol behavior change.,ChatGPT Actions Introduction Getting started Actions library Authentication Production Data retrieval Sending files,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_bc52d834fd8b,OpenAI,unknown,Citation formatting,https://platform.openai.com/api/docs/guides/citation-formatting,Official changelog entry indicates a surface or representation change.,Migration guide,A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
openai_e17eb62dbde0,OpenAI,unknown,Connection methods WebRTC WebSocket SIP,https://platform.openai.com/api/docs/guides/realtime-webrtc,Official changelog entry indicates an operational or protocol behavior change.,Realtime sessions Managing conversations Voice activity detection Realtime with tools Webhooks and server-side controls Managing costs,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_b6eed21d40ef,OpenAI,unknown,Context management Compaction Counting tokens Prompt caching,https://platform.openai.com/api/docs/guides/compaction,Official changelog entry indicates a surface or representation change.,Prompting Overview Prompt engineering Citation formatting Migration guide Reasoning Reasoning models Reasoning best practices,A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
openai_0f9f6f3e475b,OpenAI,unknown,File search and retrieval File search Retrieval,https://platform.openai.com/api/docs/guides/tools-file-search,Official changelog entry indicates semantic behavior relevant to none.,Tool search More tools Apply Patch Local shell Image generation Code interpreter,C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
openai_833631b6149d,OpenAI,unknown,MCP for deep research,https://platform.openai.com/api/docs/mcp,Official changelog entry indicates an operational or protocol behavior change.,Developer mode ChatGPT Actions Introduction Getting started Actions library Authentication Production Data retrieval Sending files,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_a514fdb1cd7a,OpenAI,unknown,More tools Apply Patch Local shell Image generation Code interpreter,https://platform.openai.com/api/docs/guides/tools-apply-patch,Official changelog entry indicates semantic behavior relevant to none.,More tools Apply Patch Local shell Image generation Code interpreter,C,none,false,unknown,high,Semantic behavior keyword matched; subclass=none.,,,,,,,,
openai_8045b6cc703e,OpenAI,unknown,Prompt engineering,https://platform.openai.com/api/docs/guides/prompt-engineering,Official changelog entry indicates a surface or representation change.,Citation formatting Migration guide,A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
openai_2d1b2041f41f,OpenAI,unknown,Prompting Overview Prompt engineering Citation formatting Migration guide,https://platform.openai.com/api/docs/guides/prompting,Official changelog entry indicates a surface or representation change.,Reasoning Reasoning models Reasoning best practices,A,none,unknown,unknown,low,Surface/representation keyword matched.,,,,,,,,
openai_a4a9ac12a0d4,OpenAI,unknown,Realtime and audio,https://platform.openai.com/docs/changelog,Official changelog entry indicates an operational or protocol behavior change.,Overview Voice agents Live translation Transcription Realtime transcription Speech to text Speech generation Realtime prompting guide Connection methods WebRTC WebSocket SIP Realtime sessions Managing,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_b7bc903a326e,OpenAI,unknown,Realtime prompting guide,https://platform.openai.com/api/docs/guides/realtime-models-prompting,Official changelog entry indicates an operational or protocol behavior change.,Connection methods WebRTC WebSocket SIP Realtime sessions Managing conversations Voice activity detection Realtime with tools Webhooks and server-side controls Managing costs,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_e3d691177a2e,OpenAI,unknown,Realtime sessions Managing conversations Voice activity detection Realtime with tools Webhooks and server-side controls Managing costs,https://platform.openai.com/api/docs/guides/realtime-conversations,Official changelog entry indicates an operational or protocol behavior change.,Realtime sessions Managing conversations Voice activity detection Realtime with tools Webhooks and server-side controls Managing costs,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_7a063b6dbfec,OpenAI,unknown,Realtime with tools,https://platform.openai.com/api/docs/guides/realtime-mcp,Official changelog entry indicates an operational or protocol behavior change.,Webhooks and server-side controls Managing costs,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_30f54296dac8,OpenAI,unknown,Search the API docs,https://platform.openai.com/docs/changelog,Official changelog entry indicates a schema-contract change.,Search docs Suggested responses create reasoning_effort realtime prompt caching,B,none,true,True,medium,Schema-contract keyword matched.,,,,,,,,
openai_a22bbf01dde3,OpenAI,unknown,Voice activity detection,https://platform.openai.com/api/docs/guides/realtime-vad,Official changelog entry indicates an operational or protocol behavior change.,Realtime with tools Webhooks and server-side controls,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
openai_8cfb30b425ad,OpenAI,unknown,Webhooks and server-side controls,https://platform.openai.com/api/docs/guides/realtime-server-controls,Official changelog entry indicates an operational or protocol behavior change.,Managing costs,D,none,unknown,unknown,high,Protocol/operational keyword matched.,,,,,,,,
shopify_dd1460b567d2,Shopify,2026-07,"Admin GraphQL API 2026-07 allows defining and setting metafields directly in inventory transfers, streamlining custom data integration without separate metafieldsSet calls.",https://shopify.dev/changelog,Official changelog entry indicates a schema-contract change.,"Admin GraphQL API 2026-07 allows defining and setting metafields directly in inventory transfers, streamlining custom data integration without separate metafieldsSet calls.",B,none,true,unknown,medium,Schema-contract keyword matched.,,,,,,,,
shopify_551df4b7707c,Shopify,2026-07,Admin GraphQL API now supports app-owned delivery profiles that cover all shippable items,https://shopify.dev/changelog/admin-graphql-api-now-supports-app-owned-delivery-profiles-that-cover-all-shippable-items,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,New Admin GraphQL 2026-07 field coversAllItems for app-owned shipping delivery profiles lets authorized apps apply rates to all shippable items without per-product assignment Read,mixed,none,true,unknown,high,Both schema/protocol and semantic keywords matched; subclass=none.,,,,,,,,
shopify_240fd24609e8,Shopify,2026-07,Define and set metafields on inventory transfers in the GraphQL Admin API,https://shopify.dev/changelog/define-and-set-metafields-on-inventory-transfers-in-the-admin-graphql-api,Official changelog entry indicates a schema-contract change.,"Admin GraphQL API 2026-07 allows defining and setting metafields directly in inventory transfers, streamlining custom data integration without separate metafieldsSet calls. Read full post",B,none,true,unknown,medium,Schema-contract keyword matched.,,,,,,,,
shopify_59e348cfaf47,Shopify,2026-07,"June 17, 2026 Tags: Admin GraphQL API Bulk queries now execute up to 4X faster Shopify bulk queries are now up to 4X faster for exporting large datasets. Read full post –>",https://shopify.dev/changelog/bulk-queries-now-execute-faster,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"June 17, 2026 Tags: Themes Color palettes in Themes A new color _palette setting type lets themes define a flat list of colors that",mixed,none,true,unknown,high,Both schema/protocol and semantic keywords matched; subclass=none.,,,,,,,,
shopify_78a263e9d119,Shopify,2026-07,"June 17, 2026 Tags: Hydrogen Hydrogen developer preview The next version of Hydrogen allows you to use Shopify's commerce primitives in any JavaScript framework. Now available as a developer preview. Read full post –>",https://shopify.dev/changelog/hydrogen-developer-preview,Official changelog entry appears to combine schema/protocol edits with semantic behavior changes.,"June 17, 2026 Tags: Shopify App Store New App Store requirements for Sidekick app extensions New Shopify rules for Sidekick extensions: must match core",mixed,C4_business_rule,true,unknown,high,Both schema/protocol and semantic keywords matched; subclass=C4_business_rule.,,,,,,,,
shopify_5bc025496f01,Shopify,2026-07,New Admin GraphQL 2026-07 field coversAllItems for app-owned shipping delivery profiles lets authorized apps apply rates to all shippable items without per-product assignment,https://shopify.dev/changelog,Official changelog entry indicates a schema-contract change.,New Admin GraphQL 2026-07 field coversAllItems for app-owned shipping delivery profiles lets authorized apps apply rates to all shippable items without per-product assignment,B,none,true,unknown,medium,Schema-contract keyword matched.,,,,,,,,
shopify_640b3cf754ae,Shopify,2026-10,ITEM_NOT_STOCKED_AT_LOCATION error removed from inventory APIs in 2026-10. Apps can drop handling for this obsolete error as inventory is adjustable at any location.,https://shopify.dev/changelog,Official changelog entry indicates a schema-contract change.,ITEM_NOT_STOCKED_AT_LOCATION error removed from inventory APIs in 2026-10. Apps can drop handling for this obsolete error as inventory is adjustable at any location.,B,none,true,True,medium,Schema-contract keyword matched.,,,,,,,,
shopify_85b860bd5842,Shopify,2026-10,Removal of ITEM_NOT_STOCKED_AT_LOCATION error,https://shopify.dev/changelog/removal-of-itemnotstockedatlocation-error,Official changelog entry indicates a schema-contract change.,ITEM_NOT_STOCKED_AT_LOCATION error removed from inventory APIs in 2026-10. Apps can drop handling for this obsolete error as inventory is adjustable at any location. Read,B,none,true,True,medium,Schema-contract keyword matched.,,,,,,,,
